id,text,file,node,lineNumber
line:5837f2,"Schiff: Hey Kumpel.  ",Ship,Ship,7
line:ship9,"Spieler: Hi Schiff. ",Ship,Ship,8
line:ship10,"Spieler: Wie geht's dem Weltraum? ",Ship,Ship,9
line:ship11,"Schiff: Oh man. ",Ship,Ship,10
line:ship12,"Schiff: Der ist RIESIG! ",Ship,Ship,12
line:ship13,"Schiff: Hey!! ",Ship,Ship,16
line:ship1,"Spieler: Sally hat mir gesagt, dass du mich sehen willst? ",Ship,Ship,21
line:ship3,"Schiff: Aber wie!! ",Ship,Ship,23
line:ship4,"Schiff: Ich soll dir von ihr ausrichten, dass ... ",Ship,Ship,25
line:ship5,"Schiff: Wenn du jemals nochmal deine Schicht verlässt ohne die Konsole zurückzusetzen ...",Ship,Ship,26
line:ship6,"Schiff: Sie dich lebendig zerhackstückelt! ",Ship,Ship,28
line:ship7,"Spieler: Oh. ",Ship,Ship,31
